num_1,pdf_1,omschrijving_1,test_kolom_1,num_2,pdf_2,omschrijving_2,test_kolom_2,num_3,pdf_3,omschrijving_3,test_kolom_3,num_4,pdf_4,omschrijving_4,test_kolom_4,num_5,pdf_5,omschrijving_5,test_kolom_5,num_6,pdf_6,omschrijving_6,test_kolom_6,num_7,pdf_7,omschrijving_7,test_kolom_7,num_8,pdf_8,omschrijving_8,test_kolom_8,num_9,pdf_9,omschrijving_9,test_kolom_9
700010,leeg.pdf,,700 010,702010,leeg.pdf,,702 010,704010,leeg.pdf,,704 010,706010,leeg.pdf,,706 010,708010,leeg.pdf,,708 010,710010,leeg.pdf,,710 010,712010,leeg.pdf,,712 010,714010,leeg.pdf,,714 010,716010,leeg.pdf,,716 010
700011,leeg.pdf,,700 011,702011,leeg.pdf,,702 011,704011,leeg.pdf,,704 011,706011,leeg.pdf,,706 011,708011,leeg.pdf,,708 011,710011,leeg.pdf,,710 011,712011,leeg.pdf,,712 011,714011,leeg.pdf,,714 011,716011,leeg.pdf,,716 011
700012,leeg.pdf,,700 012,702012,leeg.pdf,,702 012,704012,leeg.pdf,,704 012,706012,leeg.pdf,,706 012,708012,leeg.pdf,,708 012,710012,leeg.pdf,,710 012,712012,leeg.pdf,,712 012,714012,leeg.pdf,,714 012,716012,leeg.pdf,,716 012
700013,leeg.pdf,,700 013,702013,leeg.pdf,,702 013,704013,leeg.pdf,,704 013,706013,leeg.pdf,,706 013,708013,leeg.pdf,,708 013,710013,leeg.pdf,,710 013,712013,leeg.pdf,,712 013,714013,leeg.pdf,,714 013,716013,leeg.pdf,,716 013
700014,leeg.pdf,,700 014,702014,leeg.pdf,,702 014,704014,leeg.pdf,,704 014,706014,leeg.pdf,,706 014,708014,leeg.pdf,,708 014,710014,leeg.pdf,,710 014,712014,leeg.pdf,,712 014,714014,leeg.pdf,,714 014,716014,leeg.pdf,,716 014
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
